,Degree,Excentricidad,Diametro,Radio,Camino más corto promedio,Transitividad,Eficiencia Global,Rich Club Coefficient,Core Ratio,Central Point Dominance,Spectral radius,Modularidad,Average Collaborations,Clustering
88,4.491017964071856,4.508982035928144,5,3,3.2008513094293343,0.09191176470588236,0.3467065868263474,0.02705432508477022,0.7065868263473054,0.13778073655748332,1.8157536303207233,0.8883918909169612,13.571428571428571,0.14183474392649498
89,4.834645669291339,4.322834645669292,5,3,3.0172478440194976,0.08607987592089958,0.3712785901762022,0.03837020372453443,0.7086614173228346,0.15895891791404787,1.810812333220074,0.8637670291213598,13.0,0.10031564897663965
90,4.65,4.25,5,3,2.996218487394958,0.11661211129296235,0.37365079365078097,0.03907563025210084,0.6916666666666667,0.17494289397769042,1.7700316779908671,0.8872549019607843,13.8,0.18400989651839053
91,4.666666666666667,4.461538461538462,5,3,3.13631100082713,0.09045226130653267,0.3555872622001297,0.030107526881720432,0.6282051282051282,0.12602159894724232,1.797433828667338,0.8889991728701406,14.6,0.11091034841824628
92,4.459627329192546,4.496894409937888,5,3,3.2060559006211182,0.06605691056910569,0.3467883022774101,0.027872670807453415,0.6708074534161491,0.1627106351201239,1.7958081517487356,0.8936335403726708,13.363636363636363,0.11428126389211701
93,4.3076923076923075,4.092307692307692,5,3,3.062134764460346,0.09601052170100834,0.3618386006757824,0.033392963625521764,0.7,0.15043102208997763,1.8023227355071232,0.8534287418008348,14.0625,0.10959211369683249
94,4.817733990147783,4.684729064039409,6,4,3.3086865336779985,0.07624831309041835,0.3355395145426817,0.023850168268058334,0.6305418719211823,0.08904123238427124,1.8173092468789174,0.8883578012973711,13.0,0.1041180970705206
95,4.615384615384615,4.5266272189349115,5,3,3.2077345731191884,0.09657412876550502,0.345836855452244,0.027472527472527472,0.7041420118343196,0.11288168896178528,1.7933150002355804,0.8727810650887574,13.181818181818182,0.1289887120421501
96,4.7272727272727275,4.3426573426573425,5,3,3.0933714173150793,0.12047012732615084,0.36009389671356967,0.03329065300896287,0.5944055944055944,0.1401769705897687,1.7847293151052015,0.8695951935388555,12.619047619047619,0.16375179192607714
97,4.821782178217822,4.5,5,3,3.1944239200039406,0.08326105810928014,0.34468827479771946,0.023988966060785183,0.698019801980198,0.13346182199687617,1.846103405940898,0.8784788926653859,15.217391304347826,0.12297181260358915
98,4.5793103448275865,4.482758620689655,5,3,3.15316091954023,0.10762800417972831,0.3544907407406913,0.031800766283524906,0.6344827586206897,0.1514309024812014,1.7744035197188703,0.8853448275862069,12.75,0.15627132800120416
99,5.097744360902255,4.2631578947368425,5,3,2.9774436090225564,0.09807295251204405,0.3744626718310511,0.03861927546138073,0.7518796992481203,0.1205018221079891,1.7580783156804265,0.8741171109592162,12.571428571428571,0.12036062363848737
100,4.011834319526627,4.704142011834319,6,3,3.3227669766131305,0.0682295311406578,0.33486075889921574,0.023879966187658495,0.5976331360946746,0.13716507175158557,1.8328142980724655,0.9020850943927867,14.15,0.10072261410810901
101,4.7272727272727275,4.4787878787878785,5,3,3.177087952697709,0.10296921819667665,0.34983616654347377,0.028824833702882482,0.6545454545454545,0.1336196545516564,1.7991954423159437,0.88980044345898,14.136363636363637,0.14038528598642108
102,5.233009708737864,4.490291262135922,5,3,3.1437840397821453,0.06166797180892717,0.35053674323161943,0.02552687662798958,0.7233009708737864,0.11170170730566054,1.779183459929758,0.8664930144447075,14.958333333333334,0.10000499468209896
103,4.655555555555556,4.5777777777777775,6,3,3.246554934823091,0.11529878502355567,0.3413666459756154,0.02600869025450031,0.5722222222222222,0.15286153547101022,1.8500192963219273,0.8945375543140907,12.846153846153847,0.11701563104370519
